Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-06-04,139.52,144.96,139.06,144.66,1502624.0,6.240000000000009,1,701071.0,1
2019-06-05,143.86,144.82,141.66,142.78,954747.0,3.259999999999991,1,-547877.0,0
2019-06-06,142.0,144.14,140.82,141.84,865954.0,-2.0200000000000102,0,-88793.0,0
2019-06-07,142.5,142.86,140.96,141.88,817419.0,-0.12000000000000455,0,-48535.0,0
2019-06-11,143.9,145.1,143.26,143.74,1282047.0,1.240000000000009,1,464628.0,1
2019-06-12,142.3,143.26,141.54,142.36,835819.0,-1.539999999999992,0,-446228.0,0
2019-06-13,141.7,143.72,140.74,142.8,706871.0,0.5,1,-128948.0,0
2019-06-14,142.18,142.46,140.38,141.24,679443.0,-0.45999999999997954,0,-27428.0,0
2019-06-17,141.36,142.3,140.72,140.72,573699.0,-1.460000000000008,0,-105744.0,0
2019-06-18,140.54,144.66,139.26,143.32,1298030.0,1.9599999999999795,1,724331.0,1
2019-06-19,143.5,145.36,143.04,145.36,942552.0,4.820000000000022,1,-355478.0,0
2019-06-20,146.0,148.3,145.76,146.9,950255.0,3.4000000000000057,1,7703.0,1
2019-06-21,146.3,148.12,146.08,147.18,1657740.0,1.1800000000000068,1,707485.0,1
2019-06-24,145.52,147.0,144.78,147.0,719750.0,0.6999999999999886,1,-937990.0,0
2019-06-25,145.18,147.16,145.1,145.92,622729.0,0.39999999999997726,1,-97021.0,0
2019-06-26,145.02,147.92,145.02,147.5,778796.0,2.319999999999993,1,156067.0,1
2019-06-27,148.2,149.92,147.06,147.18,829787.0,2.1599999999999966,1,50991.0,1
2019-06-28,147.1,148.44,146.48,148.22,889401.0,0.020000000000010232,1,59614.0,1
2019-07-01,150.4,151.74,149.04,150.0,1144090.0,2.9000000000000057,1,254689.0,1
2019-07-02,150.38,151.44,149.14,151.0,914033.0,0.5999999999999943,1,-230057.0,0
2019-07-03,151.0,154.54,150.46,153.62,1388968.0,3.240000000000009,1,474935.0,1
2019-07-04,153.58,155.48,153.18,154.64,526289.0,3.6399999999999864,1,-862679.0,0
2019-07-05,155.22,155.38,153.3,154.6,585164.0,1.0199999999999818,1,58875.0,1
2019-07-08,153.5,156.26,153.5,154.8,769149.0,-0.4199999999999875,0,183985.0,1
2019-07-09,153.84,154.28,151.82,153.96,954106.0,0.46000000000000796,1,184957.0,1
2019-07-10,154.0,155.52,152.36,152.4,744021.0,-1.4399999999999977,0,-210085.0,0
2019-07-11,153.48,154.3,151.42,151.94,726479.0,-2.0600000000000023,0,-17542.0,0
2019-07-12,149.88,154.92,149.6,153.54,1151108.0,0.060000000000002274,1,424629.0,1
2019-07-15,154.34,155.08,153.72,154.2,642534.0,4.319999999999993,1,-508574.0,0
2019-07-16,154.08,155.42,153.08,154.94,733432.0,0.5999999999999943,1,90898.0,1
2019-07-17,154.46,155.56,153.02,153.06,614328.0,-1.0200000000000102,0,-119104.0,0
