Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header_x,release time_x,article content_x,formatted date_x,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,header_y,release time_y,article content_y,formatted date_y,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,header,release time,article content,formatteddate,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-09-03 14:10:00,146.2,146.2,146.16,146.18,610.0,-0.12000000000000455,0,154.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:11:00,146.18,146.24,146.18,146.24,381.0,0.040000000000020464,1,-229.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:12:00,146.24,146.28,146.22,146.22,388.0,0.039999999999992035,1,7.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:13:00,146.24,146.28,146.24,146.28,452.0,0.039999999999992035,1,64.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:14:00,146.28,146.28,146.24,146.24,545.0,0.0,0,93.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:15:00,146.24,146.24,146.24,146.24,64.0,-0.039999999999992035,0,-481.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:16:00,146.28,146.32,146.28,146.32,267.0,0.07999999999998407,1,203.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:17:00,146.3,146.3,146.28,146.28,186.0,0.0,0,-81.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:18:00,146.24,146.24,146.22,146.24,55.0,-0.060000000000002274,0,-131.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:19:00,146.22,146.22,146.22,146.22,44.0,-0.020000000000010232,0,-11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:20:00,146.24,146.24,146.2,146.2,646.0,-0.020000000000010232,0,602.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:21:00,146.18,146.26,146.18,146.26,731.0,0.01999999999998181,1,85.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:22:00,146.26,146.26,146.24,146.24,175.0,0.060000000000002274,1,-556.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:23:00,146.24,146.24,146.2,146.2,37.0,-0.060000000000002274,0,-138.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:24:00,146.18,146.22,146.18,146.22,390.0,-0.020000000000010232,0,353.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:25:00,146.22,146.26,146.22,146.26,150.0,0.07999999999998407,1,-240.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:26:00,146.24,146.24,146.24,146.24,36.0,0.020000000000010232,1,-114.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:27:00,146.18,146.24,146.18,146.24,253.0,0.0,0,217.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:28:00,146.28,146.36,146.28,146.3,412.0,0.12000000000000455,1,159.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:29:00,146.32,146.36,146.32,146.34,213.0,0.060000000000002274,1,-199.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:30:00,146.32,146.44,146.32,146.34,1060.0,0.020000000000010232,1,847.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:31:00,146.36,146.36,146.36,146.36,461.0,0.040000000000020464,1,-599.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:32:00,146.4,146.4,146.34,146.34,1177.0,-0.020000000000010232,0,716.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:33:00,146.34,146.34,146.3,146.3,762.0,-0.09999999999999433,0,-415.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:34:00,146.34,146.34,146.34,146.34,9.0,0.0,0,-753.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:35:00,146.4,146.42,146.4,146.42,356.0,0.07999999999998407,1,347.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:36:00,146.42,146.46,146.4,146.42,3210.0,0.01999999999998181,1,2854.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:37:00,146.42,146.46,146.36,146.36,2415.0,-0.05999999999997385,0,-795.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:38:00,146.38,146.46,146.38,146.42,4247.0,0.0,0,1832.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:39:00,146.44,146.44,146.38,146.42,2548.0,0.039999999999992035,1,-1699.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:40:00,146.42,146.44,146.4,146.42,1052.0,-0.020000000000010232,0,-1496.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:41:00,146.42,146.48,146.42,146.46,1224.0,0.040000000000020464,1,172.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
