Date,OPEN,HIGH,LOW,CLOSE,VOLUME,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
2019-08-01 13:38:00,59.76,59.76,59.76,59.76,3.0,,,,,,,,,,,,,,,
2019-08-01 13:39:00,59.74,59.74,59.74,59.74,214.0,,,,,,,,,,,,,,,
2019-08-01 13:41:00,59.76,59.76,59.72,59.74,151.0,,,,,,,,,,,,,,,
2019-08-01 13:44:00,59.72,59.72,59.7,59.7,98.0,,,,,,,,,,,,,,,
2019-08-01 13:45:00,59.7,59.7,59.66,59.66,25.0,,,,,,,,,,,,,,,
2019-08-01 13:48:00,59.68,59.68,59.68,59.68,6.0,,,,,,,,,,,,,,,
2019-08-01 13:49:00,59.68,59.68,59.68,59.68,3.0,,,,,,,,,,,,,,,
2019-08-01 13:51:00,59.66,59.66,59.66,59.66,140.0,,,,,,,,,,,,,,,
2019-08-01 13:55:00,59.68,59.7,59.68,59.68,371.0,,,,,,,,,,,,,,,
2019-08-01 13:56:00,59.68,59.68,59.68,59.68,7.0,,,,,,,,,,,,,,,
2019-08-01 13:58:00,59.68,59.68,59.68,59.68,14.0,,,,,,,,,,,,,,,
2019-08-01 13:59:00,59.68,59.68,59.66,59.66,62.0,,,,,,,,,,,,,,,
2019-08-01 14:02:00,59.68,59.68,59.68,59.68,67.0,,,,,,,,,,,,,,,
2019-08-01 14:04:00,59.64,59.64,59.64,59.64,146.0,,,,,,,,,,,,,,,
2019-08-01 14:06:00,59.64,59.66,59.62,59.66,388.0,,,,,,,,,,,,,,,
2019-08-01 14:08:00,59.66,59.66,59.62,59.62,24.0,,,,,,,,,,,,,,,
2019-08-01 14:09:00,59.64,59.64,59.64,59.64,21.0,,,,,,,,,,,,,,,
2019-08-01 14:13:00,59.66,59.66,59.66,59.66,11.0,,,,,,,,,,,,,,,
2019-08-01 14:15:00,59.64,59.64,59.64,59.64,26.0,,,,,,,,,,,,,,,
2019-08-01 14:17:00,59.66,59.66,59.66,59.66,56.0,,,,,,,,,,,,,,,
2019-08-01 14:18:00,59.68,59.76,59.68,59.72,2161.0,,,,,,,,,,,,,,,
2019-08-01 14:19:00,59.72,59.72,59.7,59.7,508.0,,,,,,,,,,,,,,,
2019-08-01 14:20:00,59.68,59.68,59.68,59.68,165.0,,,,,,,,,,,,,,,
2019-08-01 14:21:00,59.66,59.66,59.64,59.64,565.0,,,,,,,,,,,,,,,
2019-08-01 14:22:00,59.64,59.64,59.64,59.64,127.0,,,,,,,,,,,,,,,
2019-08-01 14:23:00,59.62,59.62,59.62,59.62,3.0,,,,,,,,,,,,,,,
2019-08-01 14:24:00,59.6,59.6,59.6,59.6,346.0,,,,,,,,,,,,,,,
2019-08-01 14:25:00,59.6,59.6,59.6,59.6,354.0,,,,,,,,,,,,,,,
2019-08-01 14:26:00,59.6,59.6,59.6,59.6,104.0,,,,,,,,,,,,,,,
